,index,latitude,longitude,region,country,observationDate,reportingDate,status,disease,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,Late Report,Late Observation,Mortality,Severity,domestic,wild,unspecified,species,owl,ostrich,greylag goose,bird,captive,tufted duck,guinea fowl,black headed gull,whooper swan,quail,environmental sample,dalmatian pelican,anatidae,goose,horse,dog,yaks,equidae,spotted dove,gull,ibex,emu,swine,chicken,env. sample,boar,mammal,buffaloe,black swan,duck,cattle egret,indian peafowl,turkey,reindeer,cat,goat,crow,swan,phasianidae,muscovy ducks,starling,hippopotamus,mallard,herring gull,deer,pheasant,elephant,goat/sheep ,jackal,accipitridae,buzzard,asian openbill,cattle,pigeon,xpeacock,sheep,stork,camelidae,greater flamingo,mute swan
0,0,-27.9,30.8,Africa,South Africa,2017-08-17,2017-08-22,Confirmed,Influenza - Avian,"domestic, unspecified bird",248000.0,12.0,12.0,50000.0,0.0,5,0,100.0,0.0,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,54.837037,73.354155,Europe,Russian Federation,2017-08-16,2017-08-18,Confirmed,African swine fever,"domestic, swine",122.0,6.0,1.0,0.0,0.0,2,0,16.67,4.92,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,-26.0,28.3,Africa,South Africa,2017-08-14,2017-08-22,Confirmed,Influenza - Avian,"domestic, goose",34.0,19.0,19.0,0.0,0.0,8,0,100.0,55.88,1,0,0,'goose',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,47.771608,33.993286,Europe,Ukraine,2017-08-14,2017-08-17,Confirmed,African swine fever,"domestic, swine",2.0,2.0,2.0,0.0,0.0,3,0,100.0,100.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,56.53838100000001,16.119304,Europe,Sweden,2017-08-13,2017-08-18,Confirmed,Newcastle disease,"domestic, chicken",4000.0,1600.0,0.0,4000.0,0.0,5,0,0.0,40.0,1,0,0,'chicken',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,-24.6,27.2,Africa,South Africa,2017-12-08,2017-08-22,Confirmed,Influenza - Avian,"domestic, unspecified bird",62.0,5.0,5.0,0.0,0.0,0,108,100.0,8.06,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,55.456033999999995,72.762834,Europe,Russian Federation,2017-12-08,2017-08-18,Confirmed,African swine fever,"domestic, swine",8.0,1.0,1.0,7.0,0.0,0,112,100.0,12.5,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,52.08446,23.080818,Europe,Poland,2017-12-08,2017-08-17,Confirmed,African swine fever,"domestic, swine",25.0,4.0,1.0,24.0,0.0,0,113,25.0,16.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,53.64444399999999,22.605556,Europe,Poland,2017-12-08,2017-08-17,Confirmed,African swine fever,"domestic, swine",19.0,5.0,5.0,14.0,0.0,0,113,100.0,26.32,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,-26.8,29.8,Africa,South Africa,2017-11-08,2017-08-22,Confirmed,Influenza - Avian,"domestic, unspecified bird",266.0,81.0,81.0,135.0,0.0,0,78,100.0,30.45,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
